fldno,fieldname,cardinality,len,words,characters,patterns,frequent_terms
1,productCode,110,898912,1110,21241111_110S110879479069368742937635528,A99_999998A999_999912,S10_46981S12_16661S12_28231S12_33801S12_46751S18_13671S18_24321S18_32591S18_33201S18_37821S24_15781S24_16281S24_23601S24_27661S24_38561S24_39491S50_13411S700_11381S700_19381S700_26101S700_39621S700_40021S72_12531S10_16781S18_11291S18_17491S18_19841S18_23191S18_23251S18_26251S18_40271S18_49331S24_10461S24_28401S24_31511S24_33711S24_40481S50_47131S700_35051S10_47571S10_49621S12_11081S12_31481S12_38911S12_39901S18_15891S18_16621S18_29571S18_30291S18_31401S18_32331S18_32781S18_34821S18_36851S18_45221S18_47211S24_17851S24_20111S24_28411S24_28871S24_31911S24_42781S24_46201S32_32071S32_35221S50_13921S50_15141S700_28241S72_32121S12_10991S12_44731S18_13421S18_18891S18_22381S18_27951S18_28701S18_29491S18_31361S18_38561S18_44091S18_46001S24_14441S24_19371S24_34201S24_39691S24_42581S32_12681S32_25091S700_16911S700_28341S10_19491S10_20161S18_10971S18_22481S18_25811S18_32321S18_46681S24_20001S24_20221S24_23001S24_29721S24_34321S24_38161S32_13741S32_22061S32_42891S32_44851S700_20471S700_24661S700_31671
8,98
9,12
1,110
2,124
1,111
_,110
S,110
8,79
4,79
0,69
3,68
7,42
9,37
6,35
5,28
A99_9999,98
A999_9999,12
S10_4698,1
S12_1666,1
S12_2823,1
S12_3380,1
S12_4675,1
S18_1367,1
S18_2432,1
S18_3259,1
S18_3320,1
S18_3782,1
S24_1578,1
S24_1628,1
S24_2360,1
S24_2766,1
S24_3856,1
S24_3949,1
S50_1341,1
S700_1138,1
S700_1938,1
S700_2610,1
S700_3962,1
S700_4002,1
S72_1253,1
S10_1678,1
S18_1129,1
S18_1749,1
S18_1984,1
S18_2319,1
S18_2325,1
S18_2625,1
S18_4027,1
S18_4933,1
S24_1046,1
S24_2840,1
S24_3151,1
S24_3371,1
S24_4048,1
S50_4713,1
S700_3505,1
S10_4757,1
S10_4962,1
S12_1108,1
S12_3148,1
S12_3891,1
S12_3990,1
S18_1589,1
S18_1662,1
S18_2957,1
S18_3029,1
S18_3140,1
S18_3233,1
S18_3278,1
S18_3482,1
S18_3685,1
S18_4522,1
S18_4721,1
S24_1785,1
S24_2011,1
S24_2841,1
S24_2887,1
S24_3191,1
S24_4278,1
S24_4620,1
S32_3207,1
S32_3522,1
S50_1392,1
S50_1514,1
S700_2824,1
S72_3212,1
S12_1099,1
S12_4473,1
S18_1342,1
S18_1889,1
S18_2238,1
S18_2795,1
S18_2870,1
S18_2949,1
S18_3136,1
S18_3856,1
S18_4409,1
S18_4600,1
S24_1444,1
S24_1937,1
S24_3420,1
S24_3969,1
S24_4258,1
S32_1268,1
S32_2509,1
S700_1691,1
S700_2834,1
S10_1949,1
S10_2016,1
S18_1097,1
S18_2248,1
S18_2581,1
S18_3232,1
S18_4668,1
S24_2000,1
S24_2022,1
S24_2300,1
S24_2972,1
S24_3432,1
S24_3816,1
S32_1374,1
S32_2206,1
S32_4289,1
S32_4485,1
S700_2047,1
S700_2466,1
S700_3167,1
